unlocode,name,municipality,iso_country,lat,lon
AEABU,Abu al Bukhoosh,Abu al Bukhoosh,AE,25.48333,53.13333
AEAJM,Ajman,Ajman,AE,25.3936557,55.4451432
AEAJP,Al Jeer Port,Al Jeer Port,AE,26.03333,56.05
AEAMF,Musaffah,Musaffah,AE,24.38333,54.48333
AEAMU,Abu Musa,Abu Musa,AE,25.86667,55.01667
AEARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AE,25.53333,55.55
AEAUH,Abu Dhabi,Abu Dhabi,AE,24.46667,54.36667
AEDAS,Das Island,Das Island,AE,25.141931,52.8775403
AEDBP,Dibba,Dibba,AE,25.61667,56.26667
AEDUJ,The Palm Jumeirah,The Palm Jumeirah,AE,25.117222,55.134444
AEDXB,Dubai,Dubai,AE,25.25,55.26667
AEEND,Esnnad,Esnnad,AE,24.31667,54.45
AEFAT,Fateh Terminal,Fateh Terminal,AE,25.5833,54.4167
AEFJR,Al Fujayrah,Al Fujayrah,AE,25.11667,56.33333
AEFRP,Free Port,Free Port,AE,25.4728575,55.4946245
AEHSN,Hassyan,Hassyan,AE,24.9,54.9
AEHTL,Hulaylah Terminal,Hulaylah Terminal,AE,25.98333,55.93333
AEHZP,Hamriya Free Zone Port,Hamriya Free Zone Port,AE,25.4728575,55.4946245
AEJAZ,Al Jazeera Port,Al Jazeera Port,AE,25.71667,55.8
AEJEA,Jebel Ali,Jebel Ali,AE,25.0338168,55.1366041
AEJED,Jebel Dhanna,Jebel Dhanna,AE,24.163675,52.597433
AEKHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,AE,24.83333,54.66667
AEKLB,Kalba,Kalba,AE,25.06667,56.35
AEKLF,Khor al Fakkan,Khor al Fakkan,AE,25.33333,56.35
AEMBS,Mubarras Island,Mubarras Island,AE,24.58333,53.31667
AEMKH,Mina Khalid,Mina Khalid,AE,25.35,55.36667
AEMRP,Mina Rashid Port,Mina Rashid Port,AE,25.26667,55.28333
AEMSA,Mina Saqr,Mina Saqr,AE,25.96667,56.06667
AEMUB,Mubarek Terminal,Mubarek Terminal,AE,25.85,55.216667
AEMZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AE,24.51667,54.36667
AEPRA,Port Rashid,Port Rashid,AE,25.2709307,55.265831
AEQIW,Umm al Quwain,Umm al Quwain,AE,25.58333,55.58333
AEQWE,Jebel Ali Free Zone,Jebel Ali Free Zone,AE,25,55.05
AERFA,Mirfa,Mirfa,AE,24.0961596,53.487065
AERKP,Rak Khor Port,Rak Khor Port,AE,25.81667,55.95
AERKT,Ras al Khaimah,Ras al Khaimah,AE,25.78333,55.95
AERMC,Rak Maritime City,Rak Maritime City,AE,25.95,56.05
AERUW,Ar Ruways,Ar Ruways,AE,24.11667,52.73333
AERWP,Ruwais Port,Ruwais Port,AE,24.1826892,52.5691482
AESHJ,Sharjah,Sharjah,AE,25.35,55.38333
AESID,Sadiyat Island,Sadiyat Island,AE,24.53333,54.4
AEULR,Umm Al Nar,Umm Al Nar,AE,24.43333,54.5
AEYAS,Yas Island,Yas Island,AE,24.4883715,54.6072307
AEZUR,Zirku Island,Zirku Island,AE,24.88333,53.06667
AFDHD,Dehdadi,Dehdadi,AF,36.65,66.98333
AFQLT,Qalat,Qalat,AF,32.1,66.88333
AFRKH,Torkham,Torkham,AF,34.1371589,71.0820181
AGANU,Antigua,Antigua,AG,17.1037152,-61.7904505
AGBBQ,Barbuda,Barbuda,AG,17.1184569,-61.8448509
AGFAM,Falmouth,Falmouth,AG,17.01667,-61.78333
AGPHM,Parham,Parham,AG,17.08333,-61.75
AGSJO,Saint John's,Saint John's,AG,17.11667,-61.85
AIBLP,Blowing Point,Blowing Point,AI,18.17504,-63.0936881
AIMBB,Meads Bay Beach,Meads Bay Beach,AI,18.16667,-63.13333
AIRBY,Road Bay,Road Bay,AI,18.2,-63.08333
AISOM,Sombrero,Sombrero,AI,18.6,-63.46667
ALBUT,Butrint,Butrint,AL,39.75,20.01667
ALDRZ,Durrës,Durrës,AL,41.313255,19.4462348
ALHMR,Himare,Himare,AL,40.13333,19.71667
ALROM,Romano Port,Romano Port,AL,41.36667,19.41667
ALSAR,Sarandë,Sarandë,AL,39.88333,20
ALSHG,Shëngjin,Shëngjin,AL,41.8,19.56667
ALVOA,Vlorë,Vlorë,AL,40.46667,19.48333
AMJER,Jermuk,Jermuk,AM,39.8388185,45.6712635
AOAZZ,Ambriz,Ambriz,AO,-7.844312,13.106493
AOBAB,Baba,Baba,AO,-14.83333,12.23333
AOBDD,Barra do Dande,Barra do Dande,AO,-8.4714533,13.3686966
AOBDT,Baía dos Tigres,Baía dos Tigres,AO,-16.6,11.73333
AOBUG,Benguela,Benguela,AO,-12.5790048,13.4037117
AOCAB,Cabinda,Cabinda,AO,-5.5576435,12.1919468
AOCPO,Capulo,Capulo,AO,-7.98333,13.16667
AOCUI,Cuio,Cuio,AO,-12.98333,12.98333
AODAL,Dalia,Dalia,AO,-7.68333,11.78333
AODGR,Dombe Grande,Dombe Grande,AO,-12.9426137,13.0937485
AOETN,Essungo Terminal,Essungo Terminal,AO,-6.33333,12.16667
AOFBY,Farta Bay,Farta Bay,AO,-12.61667,13.2
AOFLT,Futila Terminal,Futila Terminal,AO,-5.45,12.18333
AOGIM,Gimboa,Gimboa,AO,-7.53333,12.16667
AOGIR,Girassol Terminal,Girassol Terminal,AO,-7.63333,11.68333
AOGPO,Greater Plutonio,Greater Plutonio,AO,-7.83333,12.11667
AOLAD,Luanda,Luanda,AO,-8.8272699,13.2439512
AOLBT,Lombo Terminal,Lombo Terminal,AO,-6.98333,12.35
AOLOB,Lobito,Lobito,AO,-12.3506867,13.5464318
AOLUC,Lucira,Lucira,AO,-13.8654983,12.5248067
AOMSZ,Namibe,Namibe,AO,-15.195064,12.1458085
AONDD,Sumbe,Sumbe,AO,-11.2019365,13.8396845
AONQI,Nóqui,Nóqui,AO,-5.85,13.43333
AONTO,N'Zeto,N'Zeto,AO,-7.23333,12.86667
AOPAT,Palanca Terminal,Palanca Terminal,AO,-6.95,12.4
AOPBN,Porto Amboim,Porto Amboim,AO,-10.7279102,13.7578988
AOPLE,Tombua,Tombua,AO,-15.81667,11.85
AOPSA,Porto Saco (Portosalazar),Porto Saco (Portosalazar),AO,-15.13333,12.13333
AORSN,River Sao Nicolau,River Sao Nicolau,AO,-14.25,12.33333
AOSTL,Sazaire Terminal,Sazaire Terminal,AO,-6.08333,12.38333
AOSZA,Soyo,Soyo,AO,-6.1387951,12.3690144
AOTAK,Takula Terminal,Takula Terminal,AO,-5.216667,11.783333
AQABA,Aboa,Aboa,AQ,-73.05,-13.41667
AQAPT,Arturo Prat,Arturo Prat,AQ,-62.5,-59.68333
AQARC,Arctowski,Arctowski,AQ,-62.15,-58.46667
AQART,Artigas,Artigas,AQ,-62.18333,-58.9
AQBHN,Bellingshausen,Bellingshausen,AQ,-62.18333,-58.95
AQCAS,Casey Station,Casey Station,AQ,-66.28333,110.51667
AQCFZ,Comandante Ferraz,Comandante Ferraz,AQ,-62.08333,-58.38333
AQDAV,Davis Station,Davis Station,AQ,-68.56667,77.96667
AQDDU,Dumont d'Urville Station,Dumont d'Urville Station,AQ,-66.65,140
AQESC,Escudero,Escudero,AQ,-62.2,-58.95
AQESP,Esperanza,Esperanza,AQ,-63.38333,-56.98333
AQGWL,Great Wall,Great Wall,AQ,-62.21667,-58.96667
AQHLY,Halley,Halley,AQ,-75.56667,-26.53333
AQJBS,Jang Bogo Station,Jang Bogo Station,AQ,-74.6,164.2
AQJCP,Juan Carlos Primero,Juan Carlos Primero,AQ,-62.65,-60.38333
AQJUB,Jubany,Jubany,AQ,-62.23333,-58.65
AQKHN,Kohnen,Kohnen,AQ,-75,0.06667
AQKSG,King Sejong,King Sejong,AQ,-62.21667,-58.78333
AQLAW,Law Base,Law Base,AQ,-69.38333,76.38333
AQMAW,Mawson Station,Mawson Station,AQ,-67.6,62.86667
AQMCM,McMurdo,McMurdo,AQ,-77.83333,166.66667
AQMIR,Mirny,Mirny,AQ,-66.55,93
AQMRB,Marambio,Marambio,AQ,-64.23333,-56.65
AQMZU,Mario Zucchelli,Mario Zucchelli,AQ,-74.68333,164.11667
AQOHG,General Bernardo O'higgins,General Bernardo O'higgins,AQ,-63.31667,-57.9
AQORC,Orcadas,Orcadas,AQ,-60.73333,-44.73333
AQPFS,Port Foster,Port Foster,AQ,-63,-60.56667
AQPLM,Palmer,Palmer,AQ,-64.76667,-64.05
AQPRO,Progress,Progress,AQ,-69.4,76.38333
AQROT,Rothera,Rothera,AQ,-67.56667,-68.11667
AQSGN,Signy,Signy,AQ,-60.71667,-45.6
AQSMT,San Martín,San Martín,AQ,-68.11667,-67.1
AQSYW,Syowa,Syowa,AQ,-69,39.58333
AQVKY,Vernadsky,Vernadsky,AQ,-65.23333,-64.25
AQWSA,Wasa,Wasa,AQ,-73.05,-13.41667
AQZGN,Zhongshan,Zhongshan,AQ,-69.36667,76.38333
ARACF,Arrecifes,Arrecifes,AR,-34.08333,-60.11667
ARASO,Arroyo Seco,Arroyo Seco,AR,-33.13333,-60.43333
ARBHI,Bahía Blanca,Bahía Blanca,AR,-38.71667,-62.28333
ARBQS,Barranqueras,Barranqueras,AR,-27.4773912,-58.9084561
ARBUE,Buenos Aires,Buenos Aires,AR,-34.6095579,-58.3887904
ARBUI,Ingeniero Buitrago,Ingeniero Buitrago,AR,-33.35,-60.13333
ARBVC,Bella Vista,Bella Vista,AR,-28.5,-59.05
ARCBS,Chimbas,Chimbas,AR,-31.48333,-68.53333
ARCDL,Candelaria,Candelaria,AR,-27.45,-55.75
ARCHL,Choele Choel,Choele Choel,AR,-39.2932355,-65.6615828
ARCHO,Chilecito,Chilecito,AR,-29.16667,-67.5
ARCLC,Caleta Córdoba,Caleta Córdoba,AR,-45.73333,-67.06667
ARCMP,Campana,Campana,AR,-34.15,-58.95
ARCNQ,Corrientes,Corrientes,AR,-27.4687004,-58.8311982
ARCOL,Colón,Colón,AR,-32.21667,-58.13333
ARCOU,Concepción del Uruguay,Concepción del Uruguay,AR,-32.48333,-58.23333
ARCRD,Comodoro Rivadavia,Comodoro Rivadavia,AR,-45.8632024,-67.4752615
ARCRY,Colonia Caroya,Colonia Caroya,AR,-31.0220578,-64.0617445
ARCSA,Cabo San Antonio,Cabo San Antonio,AR,-36.03333,-56.56667
ARCUA,Cuatreros/Bahia Blanca,Cuatreros/Bahia Blanca,AR,-38.7491885,-62.3813474
ARCVI,Caleta Olivia,Caleta Olivia,AR,-46.442117,-67.5175069
ARDGU,Del Guazu,Del Guazu,AR,-33.9,-58.86667
ARDME,Diamante,Diamante,AR,-32.06667,-60.65
ARDSU,Dock Sur,Dock Sur,AR,-34.65,-58.33333
ARFMA,Formosa,Formosa,AR,-26.1852983,-58.1744976
ARGEO,Agrelo,Agrelo,AR,-33.11667,-68.88333
ARGHU,Gualeguaychú,Gualeguaychú,AR,-33.01667,-58.51667
ARIBY,Ibicuy,Ibicuy,AR,-33.73333,-59.16667
ARINW,Ingeniero White/Bahia Blanca,Ingeniero White/Bahia Blanca,AR,-38.78333,-62.26667
ARIQO,Coquimbito,Coquimbito,AR,-32.96667,-68.75
ARJLS,Jose Leon Suarez,Jose Leon Suarez,AR,-34.5283329,-58.5771687
ARLAV,Lavalle,Lavalle,AR,-28.2,-65.13333
ARLCU,Lujan de Cuyo,Lujan de Cuyo,AR,-33.05,-68.86667
ARLPG,La Plata,La Plata,AR,-34.85,-57.88333
ARLPM,La Paz,La Paz,AR,-33.46667,-67.55
ARLPS,Las Palmas,Las Palmas,AR,-34.646703,-59.4023843
ARLUJ,Luján,Luján,AR,-34.56667,-59.1
ARLZG,Luzuriaga,Luzuriaga,AR,-32.95,-68.81667
ARMDQ,Mar del Plata,Mar del Plata,AR,-38.05,-57.53333
ARNEC,Necochea,Necochea,AR,-38.5545494,-58.7392624
ARNOS,Molinos,Molinos,AR,-25.41667,-66.31667
AROVI,Olavarría,Olavarría,AR,-36.88333,-60.33333
AROYA,Goya,Goya,AR,-29.1444046,-59.2649825
AROYO,Tres Arroyos,Tres Arroyos,AR,-38.38333,-60.28333
ARPAL,Puerto Alumbrera,Puerto Alumbrera,AR,-32.65,-60.75
ARPBG,Puerto Belgrano/Bahia Blanca,Puerto Belgrano/Bahia Blanca,AR,-38.8778269,-62.090821
ARPCO,Punta Colorada,Punta Colorada,AR,-41.7,-65
ARPCY,Pilcomayo,Pilcomayo,AR,-25.3725829,-57.6519799
ARPEL,Puerto Eldorado,Puerto Eldorado,AR,-26.35,-54.68333
ARPGV,Puerto Galvan/Bahia Blanca,Puerto Galvan/Bahia Blanca,AR,-38.783333,-62.3
ARPLA,Puerto Lavalle,Puerto Lavalle,AR,-29.01667,-59.18333
ARPLO,Punta Loyola,Punta Loyola,AR,-51.6094242,-69.010354
ARPME,Punta Medanos,Punta Medanos,AR,-36.83333,-56.66667
ARPMY,Puerto Madryn,Puerto Madryn,AR,-42.75,-65.03333
ARPNL,Puerto Nacional/Bahia Blanca,Puerto Nacional/Bahia Blanca,AR,-38.71667,-62.28333
ARPP9,Pablo Podestá,Pablo Podestá,AR,-34.6,-58.51667
ARPQU,Punta Quilla,Punta Quilla,AR,-50.116389,-68.412222
ARPRA,Paraná,Paraná,AR,-31.73333,-60.53333
ARPRS,Puerto Rosales/Bahia Blanca,Puerto Rosales/Bahia Blanca,AR,-38.93333,-62.06667
ARPSS,Posadas,Posadas,AR,-27.3664824,-55.894295
ARPUB,Puerto Borghi,Puerto Borghi,AR,-32.7909688,-60.7121882
ARPUD,Puerto Deseado,Puerto Deseado,AR,-47.75,-65.9
ARPWA,Puerto Wanda,Puerto Wanda,AR,-25.96667,-54.6
ARQBR,Quebracho/San Lorenzo,Quebracho/San Lorenzo,AR,-32.65,-60.71667
ARQQN,Quequén,Quequén,AR,-38.53333,-58.7
ARRAM,Ramallo,Ramallo,AR,-33.4849394,-60.0044551
ARRFO,Rosario de la Frontera,Rosario de la Frontera,AR,-25.8,-64.96667
ARRGA,Río Grande,Río Grande,AR,-53.78333,-67.7
ARRGL,Río Gallegos,Río Gallegos,AR,-51.63333,-69.21667
ARRIC,Rio Cullen,Rio Cullen,AR,-52.8988099,-68.3549211
ARRIV,Rivadavia,Rivadavia,AR,-33.18333,-68.46667
ARROC,Puerto Ingeniero M. Rocca,Puerto Ingeniero M. Rocca,AR,-34.85,-57.93333
ARROS,Rosario,Rosario,AR,-32.95,-60.65
ARRSF,Resinfor,Resinfor,AR,-32.65,-60.73333
ARRWO,Rawson,Rawson,AR,-43.3,-65.1
ARRZA,Santa Cruz,Santa Cruz,AR,-50.01667,-68.41667
ARSAE,San Antonio Este,San Antonio Este,AR,-40.8035019,-64.8807966
ARSAL,Salto,Salto,AR,-34.2917828,-60.2544888
ARSAN,Santa Ana,Santa Ana,AR,-27.33333,-55.58333
ARSCA,San Carlos,San Carlos,AR,-33.76667,-69.03333
ARSFE,San Fernando,San Fernando,AR,-34.4471919,-58.5701505
ARSFN,Santa Fe,Santa Fe,AR,-31.6,-60.68333
ARSIG,San Ignacio,San Ignacio,AR,-27.26667,-55.56667
ARSLO,San Lorenzo,San Lorenzo,AR,-32.65,-60.71667
ARSMA,San Martin,San Martin,AR,-32.71667,-60.73333
ARSMR,San Martin,San Martin,AR,-33.06667,-68.46667
ARSNS,San Nicolás de los Arroyos,San Nicolás de los Arroyos,AR,-33.33333,-60.23333
ARSPD,San Pedro,San Pedro,AR,-33.68333,-59.16667
ARSSJ,San Salvador de Jujuy,San Salvador de Jujuy,AR,-24.18333,-65.3
ARSSN,San Sebastián,San Sebastián,AR,-53.3,-68.46667
ARSTA,Santa Rosa,Santa Rosa,AR,-33.25,-68.15
ARTIM,Timbúes,Timbúes,AR,-32.63333,-60.78333
ARTUC,Tucumán,Tucumán,AR,-26.81667,-65.21667
ARTUN,Tunuyan,Tunuyan,AR,-33.56667,-69.01667
ARULA,San Julian,San Julian,AR,-49.3,-67.71667
ARURD,Urdurrain,Urdurrain,AR,-32.68333,-58.88333
ARUSH,Ushuaia,Ushuaia,AR,-54.8,-68.3
ARVCN,Villa Constitución,Villa Constitución,AR,-33.23333,-60.33333
ARVHE,Villa Hernandarias,Villa Hernandarias,AR,-31.23333,-59.98333
ARVLO,Vicente López,Vicente López,AR,-34.51667,-58.48333
ARVMD,Villa Mercedes,Villa Mercedes,AR,-30.1065873,-68.7009333
ARVTT,Villa del Totoral,Villa del Totoral,AR,-30.7046103,-64.068164
ARXPD,San Pedro,San Pedro,AR,-24.233333,-64.866667
ARZAE,Zárate,Zárate,AR,-34.1,-59.03333
ASPPG,Pago Pago,Pago Pago,AS,-14.279444,-170.700556
AT7PZ,Prinzersdorf,Prinzersdorf,AT,48.2,15.51667
ATATK,Paternion,Paternion,AT,46.7,13.63333
ATATN,Asten,Asten,AT,48.21667,14.4
ATAWH,Altenwörth,Altenwörth,AT,48.38333,15.85
ATBFS,Bischofshofen,Bischofshofen,AT,47.41667,13.21667
ATBNN,Hobersbrunn,Hobersbrunn,AT,48.5,16.56667
ATBOE,Böhlerwenk,Böhlerwenk,AT,47.98333,14.75
ATBRI,Engabrunn,Engabrunn,AT,48.45,15.75
ATBRZ,Bregenz,Bregenz,AT,47.5,9.76667
ATDFC,Engerwitzdorf,Engerwitzdorf,AT,48.35,14.45
ATDKZ,Deutschkreutz,Deutschkreutz,AT,47.6,16.63333
ATDOF,Hadersdorf,Hadersdorf,AT,48.45,15.71667
ATDRA,Drasenhofen,Drasenhofen,AT,48.7560897,16.6464924
ATDRO,Dross,Dross,AT,48.45,15.56667
ATDUE,Dürnstein,Dürnstein,AT,48.38333,15.51667
ATDWA,Deutsch Wagram,Deutsch Wagram,AT,48.3,16.56667
ATEBR,Ebreichsdorf,Ebreichsdorf,AT,47.95,16.4
ATEIN,Hoflein,Hoflein,AT,48.06667,16.78333
ATEPD,Erpersdorf,Erpersdorf,AT,48.33333,15.9
ATERL,Erl,Erl,AT,47.66667,12.16667
ATERM,Vordernberg,Vordernberg,AT,47.46667,15
ATERO,Engelmannsbrunn,Engelmannsbrunn,AT,48.45,15.88333
ATERR,Dobermannsdorf,Dobermannsdorf,AT,48.6,16.81667
ATETZ,Rietz,Rietz,AT,47.28333,11.05
ATEWD,Eibiswald,Eibiswald,AT,46.6849442,15.2456089
ATFBZ,Sankt Stefan ob Stainz,Sankt Stefan ob Stainz,AT,46.91667,15.25
ATFG7,Achau,Achau,AT,48.0803418,16.3865508
ATFHR,Fehring,Fehring,AT,46.93333,16
ATFNA,Freudenau,Freudenau,AT,48.18333,16.43333
ATFPS,Fulpmes,Fulpmes,AT,47.15,11.35
ATFSU,Faistenau,Faistenau,AT,47.76667,13.21667
ATGA6,Gamlitz,Gamlitz,AT,46.71667,15.55
ATGDN,Gmunden,Gmunden,AT,47.91667,13.8
ATGFS,Greifenstein,Greifenstein,AT,48.33333,16.23333
ATGGU,Oggau,Oggau,AT,47.83333,16.66667
ATGHH,Haugsdorf,Haugsdorf,AT,48.7,16.06667
ATGHJ,Krustetten,Krustetten,AT,48.3606658,15.6635388
ATGRN,Grein,Grein,AT,48.21667,14.83333
ATGSN,Gutenstein,Gutenstein,AT,47.86667,15.88333
ATHKM,Hadersdorf-Kammern,Hadersdorf-Kammern,AT,48.45,15.71667
ATIEG,Limberg,Limberg,AT,48.58333,15.86667
ATITN,Hausleiten,Hausleiten,AT,48.38333,16.1
ATJDD,Judendorf,Judendorf,AT,47.11667,15.35
ATJPS,Japons,Japons,AT,48.78333,15.56667
ATKAM,Kammern im Liesingtal,Kammern im Liesingtal,AT,47.4,14.9
ATKFD,Knittelfeld,Knittelfeld,AT,47.2,14.81667
ATKMB,Krummnussbaum,Krummnussbaum,AT,48.21667,15.16667
ATKTT,Kematen in Tirol,Kematen in Tirol,AT,47.25,11.26667
ATLKN,Falkenstein,Falkenstein,AT,48.720833,16.585833
ATLTS,Leutschach,Leutschach,AT,46.66667,15.46667
ATLTX,Hainfeld,Hainfeld,AT,48.03333,15.76667
ATLUA,Lembach,Lembach,AT,48.48333,13.88333
ATLZD,Langenzersdorf,Langenzersdorf,AT,48.3,16.35
ATMAB,Marbach an der Donau,Marbach an der Donau,AT,48.21667,15.15
ATMAN,Manning,Manning,AT,48.08333,13.66667
ATMBS,Morbisch am See,Morbisch am See,AT,47.75,16.66667
ATMKA,Markt Allhau,Markt Allhau,AT,47.23333,16.08333
ATMKC,Mitterkirchen,Mitterkirchen,AT,48.18333,14.7
ATNAD,Neuhofen an der Ybbs,Neuhofen an der Ybbs,AT,48.05,14.85
ATND2,Nickelsdorf,Nickelsdorf,AT,47.93333,17.06667
ATNFN,Neufelden,Neufelden,AT,48.48333,13.98333
ATNGG,Neudegg,Neudegg,AT,48.48333,15.88333
ATNNN,Donnerskirchen,Donnerskirchen,AT,47.9,16.63333
ATNT9,Muthmannsdorf,Muthmannsdorf,AT,47.83333,16.1
ATNUZ,Nüziders,Nüziders,AT,47.18333,9.8
ATOBU,Oberneukirchen,Oberneukirchen,AT,48.4645137,14.226266
ATOSH,Ottensheim,Ottensheim,AT,48.33333,14.18333
ATPAS,Podersdorf am See,Podersdorf am See,AT,47.85,16.83333
ATPBU,Persenbeug,Persenbeug,AT,48.18333,15.06667
ATPET,Petzenkirchen,Petzenkirchen,AT,48.13333,15.15
ATRAD,Radstadt,Radstadt,AT,47.38333,13.45
ATREG,Regau,Regau,AT,48.08333,14.13333
ATRHN,Ranshofen,Ranshofen,AT,48.23333,13
ATRHR,Rohrau,Rohrau,AT,48.06667,16.85
ATRRF,Ruhrsdorf,Ruhrsdorf,AT,48.4,15.5
ATRTV,Gallbrunn,Gallbrunn,AT,48.0545255,16.6422945
ATSAG,Schutzen am Gebirge,Schutzen am Gebirge,AT,47.85,16.61667
ATSAK,Sankt Aegidi,Sankt Aegidi,AT,48.48333,13.75
ATSFT,Senftenberg,Senftenberg,AT,48.43333,15.55
ATSGS,Sankt Georgen bei Salzburg,Sankt Georgen bei Salzburg,AT,47.98333,12.88333
ATSK3,Sankt Margrethen,Sankt Margrethen,AT,46.63333,14.38333
ATSMK,Schönau im Mühlkreis,Schönau im Mühlkreis,AT,48.38333,14.73333
ATSMR,Sankt Margarethen an der Raab,Sankt Margarethen an der Raab,AT,47.05,15.75
ATSPG,Spannberg,Spannberg,AT,48.45,16.73333
ATSPZ,Spitz,Spitz,AT,48.36667,15.41667
ATSSS,Steinberg,Steinberg,AT,47.48333,16.48333
ATST6,Straden,Straden,AT,46.8,15.86667
ATSTD,Steeg,Steeg,AT,47.2425,10.294444
ATSUH,Sankt Ulrich,Sankt Ulrich,AT,48.6,16.76667
ATSUS,Steinhaus,Steinhaus,AT,48.11667,14.01667
ATSVM,Sankt Veit im Mühlkreis,Sankt Veit im Mühlkreis,AT,48.46667,14.15
ATSWH,Gross-Schweinbarth,Gross-Schweinbarth,AT,48.4,16.61667
ATSXA,Bernhardsthal,Bernhardsthal,AT,48.68333,16.86667
ATTAM,Tamsweg,Tamsweg,AT,47.13333,13.8
ATTEN,Hausmannstatten,Hausmannstatten,AT,46.98333,15.5
ATTFS,Terfens,Terfens,AT,47.31667,11.65
ATTHS,Theiss,Theiss,AT,48.38333,15.68333
ATTKP,Taufkirchen an der Pram,Taufkirchen an der Pram,AT,48.41667,13.53333
ATTMR,Traismauer,Traismauer,AT,48.33333,15.73333
ATTTL,Schrattenthal,Schrattenthal,AT,48.7,15.9
ATVEL,Velden,Velden,AT,46.61667,14.05
ATWDF,Weitendorf,Weitendorf,AT,46.88333,15.46667
ATWEU,Weinburg,Weinburg,AT,48.1,15.51667
ATWSE,Wallsee,Wallsee,AT,48.16667,14.71667
ATWUL,Wulkaprodersdorf,Wulkaprodersdorf,AT,47.8,16.5
ATXAE,Oehling,Oehling,AT,48.1,14.8
ATZIN,Inzersdorf an der Traisen,Inzersdorf an der Traisen,AT,48.31667,15.66667
ATZLF,Jetzelsdorf,Jetzelsdorf,AT,48.7,16.05
ATZNG,Zobing,Zobing,AT,48.48333,15.68333
ATZRF,Ketzelsdorf,Ketzelsdorf,AT,48.65,16.65
AU5CI,Selby,Selby,AU,-37.91667,145.38333
AUABP,Abbot Point,Abbot Point,AU,-19.9,148.08333
AUADL,Adelaide,Adelaide,AU,-34.91667,138.58333
AUAGS,Augusta,Augusta,AU,-34.31667,115.16667
AUALD,Aldgate,Aldgate,AU,-35.01667,138.73333
AUALH,Albany,Albany,AU,-35.0247822,117.883608
AUALI,Australind,Australind,AU,-33.28333,115.71667
AUALP,Abell Point,Abell Point,AU,-20.26667,148.71667
AUAMR,Amrun,Amrun,AU,-12.91667,141.61667
AUANN,Annandale,Annandale,AU,-33.88333,151.16667
AUAPP,Applecross,Applecross,AU,-32.01667,115.83333
AUARD,Ardrossan,Ardrossan,AU,-34.424675,137.915867
AUASB,Ashburton,Ashburton,AU,-21.68333,115
AUASH,Ashton,Ashton,AU,-34.93333,138.73333
AUATT,Attadale,Attadale,AU,-32.01667,115.78333
AUBAA,Balhannah,Balhannah,AU,-34.98333,138.83333
AUBAE,Baerami,Baerami,AU,-32.4,150.48333
AUBAH,Ballast Head,Ballast Head,AU,-35.755899,137.7700944
AUBAL,Balnarring,Balnarring,AU,-38.36667,145.13333
AUBAR,Barry Beach,Barry Beach,AU,-38.7,146.38333
AUBBG,Bing Bong,Bing Bong,AU,-15.7490332,136.2521323
AUBBL,Beelbangera,Beelbangera,AU,-34.26667,146.1
AUBBY,Bremer Bay,Bremer Bay,AU,-34.38333,119.36667
AUBCH,Beachport,Beachport,AU,-37.4818511,140.0106789
AUBDB,Bundaberg,Bundaberg,AU,-24.8653253,152.3516785
AUBDY,Bomaderry,Bomaderry,AU,-34.85,150.61667
AUBE9,Belrose,Belrose,AU,-33.73333,151.21667
AUBEL,Bell Bay,Bell Bay,AU,-41.131424,146.8657946
AUBFD,Beresfield,Beresfield,AU,-32.8,151.65
AUBIC,Bicheno,Bicheno,AU,-41.86667,148.28333
AUBKE,Berkeley Vale,Berkeley Vale,AU,-33.35,151.43333
AUBLP,Black Point,Black Point,AU,-34.614722,137.897501
AUBME,Broome,Broome,AU,-17.9566909,122.2240181
AUBMW,Broadmeadows,Broadmeadows,AU,-37.6832769,144.9323037
AUBNE,Brisbane,Brisbane,AU,-27.46667,153.01667
AUBNK,Ballina,Ballina,AU,-28.86574,153.5659468
AUBNN,Bannockburn,Bannockburn,AU,-38.05,144.16667
AUBNY,Blayney,Blayney,AU,-33.53333,149.25
AUBOB,Bobin,Bobin,AU,-31.71667,152.28333
AUBOD,Boondall,Boondall,AU,-27.33333,153.05
AUBOL,Bridgewater-on-Loddon,Bridgewater-on-Loddon,AU,-36.6,143.95
AUBOO,Booby Island,Booby Island,AU,-10.6,141.91667
AUBOT,Boort,Boort,AU,-36.11667,143.71667
AUBOU,Boundary Bend,Boundary Bend,AU,-34.7,143.15
AUBOV,Blacktip Terminal,Blacktip Terminal,AU,-14.4,129.35
AUBOY,Boyer,Boyer,AU,-42.77595,147.10139
AUBPO,Bridport,Bridport,AU,-41,147.4
AUBRR,Berrys Creek,Berrys Creek,AU,-38.41667,146.06667
AUBRT,Bathurst Island,Bathurst Island,AU,-11.583333,130.3
AUBSA,Brighton-Le-Sands,Brighton-Le-Sands,AU,-33.95,151.15
AUBTB,Botany Bay,Botany Bay,AU,-33.9859293,151.1883543
AUBUC,Burketown,Burketown,AU,-17.73333,139.53333
AUBUL,Bulli,Bulli,AU,-34.3,150.91667
AUBUS,Busselton,Busselton,AU,-33.644499,115.3488754
AUBUY,Bunbury,Bunbury,AU,-33.3267797,115.636698
AUBVD,Belvidere,Belvidere,AU,-35.3,138.93333
